Cible,Technique,R² Global,R² Cluster (pondéré),Gain,R² par cluster
Rendement céréales,target_yield_cereals,0.7793,0.2982,-0.481,0:-1.00 | 1:0.12 | 2:0.75 | 3:-0.62 | 4:1.00 | 5:0.95 | 6:1.00 | 7:-0.02
Rendement oléagineux,target_yield_oilcrops,0.8243,0.1213,-0.703,0:-0.81 | 1:-0.21 | 2:0.92 | 3:0.57 | 4:1.00 | 5:-0.48 | 6:-3.16 | 7:0.18
Rendement légumineuses,target_yield_pulses,0.5822,0.3106,-0.2717,0:-0.65 | 1:-0.08 | 2:0.97 | 3:-1.01 | 4:1.00 | 5:0.95 | 6:1.00 | 7:0.09
Rendement racines,target_yield_roots,0.8882,-6.1276,-7.0158,0:0.97 | 1:0.51 | 2:0.67 | 3:-0.52 | 4:1.00 | 5:-103.07 | 6:-0.76 | 7:0.03
Rendement fruits,target_yield_fruits,0.8732,0.4453,-0.4278,0:0.22 | 1:0.77 | 2:0.97 | 3:-0.51 | 4:1.00 | 5:-0.61 | 6:-1.20 | 7:0.35
Rendement légumes,target_yield_vegetables,0.8965,0.5882,-0.3083,0:-1.00 | 1:0.97 | 2:0.72 | 3:1.00 | 4:1.00 | 5:0.78 | 6:-0.42 | 7:0.15
Stress hydrique,target_water_stress,0.454,-0.3601,-0.8141,0:0.02 | 1:0.34 | 2:0.35 | 3:-1.05 | 4:1.00 | 5:-10.01 | 6:1.00 | 7:0.34
Dégradation sol,target_soil_degradation,0.7709,0.4458,-0.3251,0:0.90 | 1:0.18 | 2:0.82 | 3:0.55 | 4:1.00 | 5:-1.18 | 6:0.81 | 7:0.47
Anomalie thermique,target_thermal_anomaly,0.7243,0.7446,0.0203,0:0.49 | 1:0.71 | 2:0.84 | 3:0.84 | 4:0.68 | 5:0.38 | 6:0.72 | 7:0.79
Humidité sol,target_soil_moisture_root,0.8855,0.7635,-0.1219,0:-0.41 | 1:0.67 | 2:0.76 | 3:0.97 | 4:0.80 | 5:0.72 | 6:0.79 | 7:0.97
% forêt,target_forest_share,0.7257,-154.9299,-155.6556,0:-1.17 | 1:0.56 | 2:0.95 | 3:-5.79 | 4:1.00 | 5:0.26 | 6:-3307.72 | 7:0.69
Perte couvert arboré,target_tree_cover_loss,0.9826,0.7466,-0.236,0:-0.34 | 1:0.94 | 2:0.93 | 3:0.52 | 4:1.00 | 5:0.52 | 6:1.00 | 7:0.50
Mortalité infantile,target_child_mortality,0.8207,0.7041,-0.1166,0:0.95 | 1:0.74 | 2:0.76 | 3:0.60 | 4:1.00 | 5:0.45 | 6:-0.21 | 7:0.80
Espérance de vie,target_life_expectancy,0.8147,0.7389,-0.0758,0:0.85 | 1:0.76 | 2:0.86 | 3:0.13 | 4:0.85 | 5:0.58 | 6:0.96 | 7:0.74
Croissance démo,target_pop_growth,0.6226,0.5516,-0.071,0:0.86 | 1:0.71 | 2:0.73 | 3:0.69 | 4:0.51 | 5:0.46 | 6:0.66 | 7:0.07
Natalité,target_birth_rate,0.9742,0.9091,-0.0651,0:0.97 | 1:0.97 | 2:0.88 | 3:0.75 | 4:0.86 | 5:0.91 | 6:0.95 | 7:0.93
Mortalité brut,target_death_rate,0.5886,0.5399,-0.0487,0:0.63 | 1:0.60 | 2:0.71 | 3:0.01 | 4:0.70 | 5:0.61 | 6:0.22 | 7:0.46
Migration nette,target_net_migration,-0.2017,-5.7822,-5.5806,0:0.46 | 1:0.25 | 2:0.16 | 3:-42.57 | 4:0.58 | 5:-1.55 | 6:0.17 | 7:-11.49
