Cible,Technique,Meilleur,R² (pays inconnus),MAE,N test,N feats sélectionnées
Rendement céréales,target_yield_cereals,XGBoost,0.5772,0.342,1433,100
Rendement oléagineux (agrégé),target_yield_oilcrops,XGBoost,0.5681,0.38,1519,100
Rendement légumineuses (agrégé),target_yield_pulses,XGBoost,0.3006,0.312,1413,100
Rendement racines/tubercules,target_yield_roots,XGBoost,0.7189,0.236,1612,100
Rendement fruits (agrégé),target_yield_fruits,RandomForest,0.3092,0.4,1616,100
Rendement légumes (agrégé),target_yield_vegetables,XGBoost,0.5504,0.375,1616,100
Stress hydrique,target_water_stress,XGBoost,0.6016,0.742,1256,100
Dégradation du sol,target_soil_degradation,XGBoost,0.6608,23.248,839,100
Anomalie thermique,target_thermal_anomaly,XGBoost,0.7858,0.2,2006,100
Humidité sol racinaire,target_soil_moisture_root,XGBoost,0.5432,0.073,2030,100
% forêt national,target_forest_share,XGBoost,0.86,5.689,1755,100
Perte couvert arboré (log),target_tree_cover_loss,XGBoost,0.5814,1.694,1104,100
Mortalité infantile,target_child_mortality,XGBoost,0.7896,15.785,1715,100
Espérance de vie,target_life_expectancy,XGBoost,0.7025,3.378,1855,100
Croissance démographique,target_pop_growth,RandomForest,0.4098,0.718,1855,100
Taux de natalité,target_birth_rate,XGBoost,0.7517,3.727,1855,100
Taux de mortalité brut,target_death_rate,XGBoost,0.4413,1.945,1855,100
Migration nette,target_net_migration,Ridge,-0.0719,89662.058,1855,100
Taux de fécondité,target_fertility,XGBoost,0.7788,0.519,1836,100
Retard de croissance enfants,target_stunting,Ridge,0.5925,8.553,251,41
Décès catastrophes,target_disaster_deaths,XGBoost,0.5417,1.208,2100,100
Affectés catastrophes,target_disaster_affected,RandomForest,0.5781,3.07,2100,100
Rendement Soja,target_yield_soybeans,RandomForest,0.1616,0.391,880,100
Rendement Colza,target_yield_rapeseed,XGBoost,0.4591,0.279,495,73
Rendement Tournesol,target_yield_sunflower,XGBoost,0.1272,0.293,574,88
Rendement Arachide,target_yield_groundnut,XGBoost,0.198,0.444,904,100
Rendement Olives,target_yield_olives,RandomForest,0.1374,0.736,321,50
Rendement Sésame,target_yield_sesame,XGBoost,-0.0074,0.434,655,87
Rendement Coco,target_yield_coconut,RandomForest,0.0429,0.73,743,100
Rendement Coton,target_yield_cotton,RandomForest,0.4002,0.517,747,100
Rendement Pomme,target_yield_apple,RandomForest,0.3846,0.547,772,100
Rendement Banane,target_yield_banana,RandomForest,0.2255,0.654,1039,100
Rendement Orange,target_yield_orange,XGBoost,-0.0394,0.667,990,100
Rendement Mangue,target_yield_mango,RandomForest,-0.7659,0.668,830,100
Rendement Ananas,target_yield_pineapple,XGBoost,0.2016,0.543,729,100
Rendement Raisin,target_yield_grape,RandomForest,0.1768,0.521,706,100
Rendement Avocat,target_yield_avocado,XGBoost,0.0504,0.535,630,77
Rendement Citron,target_yield_lemon,RandomForest,0.2271,0.592,911,100
Rendement Pêche,target_yield_peach,XGBoost,0.2058,0.444,711,96
Rendement Poire,target_yield_pear,XGBoost,-0.1527,0.518,681,100
Rendement Fraise,target_yield_strawberry,RandomForest,0.412,0.466,626,93
Rendement Pastèque,target_yield_watermelon,XGBoost,0.1269,0.413,1000,100
Rendement Datte,target_yield_dates,XGBoost,-0.2282,0.692,314,42
Rendement Abricot,target_yield_apricot,RandomForest,-0.2159,0.7,576,83
Rendement Cerise,target_yield_cherry,XGBoost,-0.1362,0.687,566,76
Rendement Prune,target_yield_plum,XGBoost,-0.14,0.634,666,100
Rendement Tomate,target_yield_tomato,RandomForest,0.6052,0.381,1252,100
Rendement Pomme de terre,target_yield_potato,RandomForest,0.4251,0.328,1238,100
Rendement Oignon,target_yield_onion,RandomForest,-0.0298,0.578,419,61
Rendement Chou,target_yield_cabbage,XGBoost,-0.0794,0.366,1123,100
Rendement Carotte,target_yield_carrot,RandomForest,0.0615,0.45,1004,100
Rendement Concombre,target_yield_cucumber,XGBoost,0.5674,0.557,1048,100
Rendement Aubergine,target_yield_eggplant,RandomForest,0.3227,0.584,682,100
Rendement Chou-fleur,target_yield_cauliflower,XGBoost,0.0247,0.397,801,100
Rendement Laitue,target_yield_lettuce,XGBoost,0.2037,0.604,905,100
Rendement Pois chiche,target_yield_chickpea,XGBoost,-0.3358,0.555,387,63
Rendement Haricot sec,target_yield_drybean,XGBoost,0.2292,0.446,886,100
Rendement Pois sec,target_yield_drypea,RandomForest,0.435,0.372,742,100
