target,rank,feature
target_yield_cereals,1,dependency_ratio
target_yield_cereals,2,fertilizer_consumption
target_yield_cereals,3,gdp_per_arable_ha_lag5
target_yield_cereals,4,Irrigation_equipee_ha
target_yield_cereals,5,bio9_temp_driest_quarter
target_yield_cereals,6,pop_under14_pct
target_yield_cereals,7,Part_terres_arables
target_yield_cereals,8,P_annual_mm_roll5
target_yield_cereals,9,agri_output_usd
target_yield_cereals,10,yield_banana
target_yield_cereals,11,nasa_t2m_min_ref
target_yield_cereals,12,dist_to_river_km
target_yield_cereals,13,forest_area_pct
target_yield_cereals,14,agri_output_usd_lag5
target_yield_cereals,15,Part_irriguee
target_yield_cereals,16,yield_rapeseed
target_yield_cereals,17,nasa_t2m_range_ref
target_yield_cereals,18,precip_mean
target_yield_cereals,19,forest_area_km2
target_yield_cereals,20,freshwater_withdraw_total
target_yield_oilcrops,1,nasa_rh2m_ref
target_yield_oilcrops,2,yield_cotton
target_yield_oilcrops,3,yield_coconut
target_yield_oilcrops,4,Child_Mort
target_yield_oilcrops,5,precip_mean
target_yield_oilcrops,6,yield_olives
target_yield_oilcrops,7,P_annual_mm_roll5
target_yield_oilcrops,8,yield_groundnut
target_yield_oilcrops,9,yield_rapeseed
target_yield_oilcrops,10,yield_sunflower
target_yield_oilcrops,11,P_annual_mm_lag5
target_yield_oilcrops,12,agri_vs_services_ratio
target_yield_oilcrops,13,employ_services_pct
target_yield_oilcrops,14,forest_area_km2
target_yield_oilcrops,15,yield_apple
target_yield_oilcrops,16,employ_agri_pct
target_yield_oilcrops,17,nasa_t2m_range_ref
target_yield_oilcrops,18,freshwater_withdraw_total
target_yield_oilcrops,19,infant_deaths_total
target_yield_oilcrops,20,temp_mean
target_yield_pulses,1,Electricity_pct
target_yield_pulses,2,yield_drybean
target_yield_pulses,3,yield_drypea
target_yield_pulses,4,bio19_precip_coldest_quarter
target_yield_pulses,5,solar_radiation_mean
target_yield_pulses,6,owid_co2_pc_lag5
target_yield_pulses,7,feature_photoperiod_range
target_yield_pulses,8,dependency_old
target_yield_pulses,9,yield_eggplant
target_yield_pulses,10,owid_co2_pc
target_yield_pulses,11,yield_chickpea
target_yield_pulses,12,nasa_t2m_max_ref
target_yield_pulses,13,heat_drought_stress
target_yield_pulses,14,precip_seasonality
target_yield_pulses,15,wind_speed_mean
target_yield_pulses,16,bio3_isothermality
target_yield_pulses,17,Child_Mort
target_yield_pulses,18,co_emissions
target_yield_pulses,19,P_annual_mm_roll5
target_yield_pulses,20,temp_max
target_yield_roots,1,yield_potato
target_yield_roots,2,bio3_isothermality
target_yield_roots,3,nasa_allsky_sfc_sw_dwn_ref
target_yield_roots,4,elevation_std
target_yield_roots,5,last_eruption_year
target_yield_roots,6,Terres_culture_ha
target_yield_roots,7,pop_under14_pct
target_yield_roots,8,dist_to_coast_km
target_yield_roots,9,soil_moisture_top_root_ratio
target_yield_roots,10,dist_to_lake_km
target_yield_roots,11,yield_avocado
target_yield_roots,12,nasa_t2m_max_ref
target_yield_roots,13,freshwater_internal_per_cap
target_yield_roots,14,arable_per_capita
target_yield_roots,15,yield_groundnut
target_yield_roots,16,Irrigation_equipee_ha
target_yield_roots,17,feature_photoperiod_range
target_yield_roots,18,solar_radiation_mean
target_yield_roots,19,forest_area_km2
target_yield_roots,20,dependency_young
target_yield_fruits,1,yield_banana
target_yield_fruits,2,yield_apple
target_yield_fruits,3,dist_to_coast_km
target_yield_fruits,4,yield_tomato
target_yield_fruits,5,yield_grape
target_yield_fruits,6,bio7_temp_annual_range
target_yield_fruits,7,bio9_temp_driest_quarter
target_yield_fruits,8,dist_to_lake_km
target_yield_fruits,9,nasa_t2m_min_ref
target_yield_fruits,10,temp_min
target_yield_fruits,11,yield_pineapple
target_yield_fruits,12,yield_dates
target_yield_fruits,13,temp_mean
target_yield_fruits,14,bio4_temp_seasonality
target_yield_fruits,15,RD_GDP
target_yield_fruits,16,bio11_temp_coldest_quarter
target_yield_fruits,17,yield_orange
target_yield_fruits,18,yield_lemon
target_yield_fruits,19,meat_consumption_pc_roll5
target_yield_fruits,20,longitude
target_yield_vegetables,1,yield_carrot
target_yield_vegetables,2,yield_potato
target_yield_vegetables,3,yield_tomato
target_yield_vegetables,4,growing_season_index
target_yield_vegetables,5,yield_cucumber
target_yield_vegetables,6,feature_photoperiod_range
target_yield_vegetables,7,adult_mortality_female
target_yield_vegetables,8,yield_cabbage
target_yield_vegetables,9,bio19_precip_coldest_quarter
target_yield_vegetables,10,bio7_temp_annual_range
target_yield_vegetables,11,dependency_ratio
target_yield_vegetables,12,Irrigation_equipee_ha
target_yield_vegetables,13,bio8_temp_wettest_quarter
target_yield_vegetables,14,yield_orange
target_yield_vegetables,15,Pesticides_kgha_roll5
target_yield_vegetables,16,temp_min
target_yield_vegetables,17,yield_pineapple
target_yield_vegetables,18,yield_eggplant
target_yield_vegetables,19,feature_photoperiod_winter
target_yield_vegetables,20,growing_season_index_lag1
target_water_stress,1,bio18_precip_warmest_quarter
target_water_stress,2,forest_per_capita_km2
target_water_stress,3,solar_radiation_mean
target_water_stress,4,Birth_Rate
target_water_stress,5,P_annual_mm_roll5
target_water_stress,6,bio19_precip_coldest_quarter
target_water_stress,7,nasa_gwettop_ref
target_water_stress,8,dist_to_river_km
target_water_stress,9,growing_season_index
target_water_stress,10,drought_stress_index
target_water_stress,11,longitude
target_water_stress,12,dependency_old
target_water_stress,13,safe_water_pct
target_water_stress,14,nasa_prectotcorr_ref
target_water_stress,15,pop_density_per_km2
target_water_stress,16,dist_to_coast_km
target_water_stress,17,forest_rents_pct_gdp
target_water_stress,18,yield_olives
target_water_stress,19,bio14_precip_driest_month
target_water_stress,20,nasa_ps_ref
target_soil_degradation,1,Engrais_kgha
target_soil_degradation,2,agri_vs_services_ratio
target_soil_degradation,3,Part_terres_arables
