Sous-couche,Cible,Technique,R² cascade V2,MAE,N obs,N features,Cascade OOF
1.1 Atmosphère,Anomalie thermique,target_thermal_anomaly,0.807,0.196,8024,120,0
1.1 Atmosphère,Émissions CO2 (log),target_co2_emissions,0.7053,1.06,6990,120,0
1.1 Atmosphère,Émissions CH4 (log),target_methane_emissions,0.8723,0.704,6580,120,0
1.1 Atmosphère,Émissions N2O (log),target_n2o_emissions,0.8688,0.588,6650,120,0
1.2 Hydrologie,Stress hydrique,target_water_stress,0.6202,0.727,5170,120,3
1.2 Hydrologie,Accès eau potable,target_water_access,0.7309,5.541,5112,120,4
1.2 Hydrologie,Humidité sol racinaire,target_soil_moisture_root,0.6049,0.066,8085,120,3
1.2 Hydrologie,Production halieutique totale (log),target_fish_total,0.4485,1.555,7187,120,3
1.2 Hydrologie,Pêche capture sauvage (log),target_fish_capture,0.4414,1.736,7187,120,3
1.2 Hydrologie,Aquaculture totale (log),target_fish_aquaculture,0.6146,1.962,7187,120,4
1.3 Sols & Écologie,Dégradation du sol,target_soil_degradation,0.6529,24.058,3271,120,8
1.3 Sols & Écologie,% forêt national,target_forest_share,0.4269,12.898,7040,120,9
1.3 Sols & Écologie,Perte couvert arboré (log),target_tree_cover_loss,0.4828,1.9,4368,120,9
1.4 Agriculture végétale,Rendement céréales,target_yield_cereals,0.4973,0.381,5823,120,11
1.4 Agriculture végétale,Rendement racines/tubercules,target_yield_roots,0.5447,0.351,6310,120,12
1.4 Agriculture végétale,Tomate,target_yield_tomato,0.4919,0.407,5009,120,13
1.4 Agriculture végétale,Pomme de terre,target_yield_potato,0.3589,0.382,4959,120,11
1.4 Agriculture végétale,Concombre,target_yield_cucumber,0.4678,0.622,4075,120,10
1.4 Agriculture végétale,Colza,target_yield_rapeseed,0.563,0.261,1974,120,13
1.4 Agriculture végétale,Pois sec,target_yield_drypea,0.4061,0.406,3003,120,12
1.4 Agriculture végétale,Pomme,target_yield_apple,0.1814,0.65,3022,120,12
1.4 Agriculture végétale,Aubergine,target_yield_eggplant,0.2614,0.623,2791,120,12
1.4 Agriculture végétale,Fraise,target_yield_strawberry,0.1068,0.588,2493,120,12
1.4 Agriculture végétale,Coton,target_yield_cotton,0.2687,0.565,2902,120,12
1.4 Agriculture végétale,Arachide,target_yield_groundnut,0.2639,0.414,3696,120,12
1.4 Agriculture végétale,Haricot sec,target_yield_drybean,-0.0093,0.553,3785,120,11
1.5 Élevage,Rendement lait (kg/animal),target_milk_yield,0.7813,754.254,6035,120,23
1.5 Élevage,Poids carcasse bovine,target_cattle_carcass,0.2119,48.103,6240,120,24
1.5 Élevage,Poids carcasse poulet,target_chicken_carcass,0.3443,240.723,6260,120,25
1.5 Élevage,Poids carcasse ovin/caprin,target_sheepgoat_carcass,0.0592,3.566,6065,120,23
1.5 Élevage,Poids carcasse porc,target_pig_carcass,0.179,16.904,5681,120,24
1.5 Élevage,Rendement œufs,target_eggs_yield,0.4688,44.612,6147,120,22
1.5 Élevage,Production œufs (log),target_livestock_eggs_prod,0.8479,0.651,6190,120,21
1.6 Énergie,Solaire TWh (log),target_solar_consumption,0.7175,0.19,5703,120,29
1.6 Énergie,Éolien TWh (log),target_wind_generation,0.7277,0.248,5515,120,32
1.6 Énergie,Hydroélectrique TWh (log),target_hydro_consumption,0.4482,0.834,5636,120,30
1.6 Énergie,Charbon TWh (log),target_coal_production,0.7627,0.799,5553,120,29
1.6 Énergie,Pétrole TWh (log),target_oil_production,0.9055,0.562,5688,120,31
1.6 Énergie,Gaz TWh (log),target_gas_production,0.875,0.579,5682,120,32
