Sous-couche,Cible,Technique,R² Global,R² Global+Cluster,R² PerCluster,MAE,N obs,N pays test
Démographie,Natalité (‰),target_birth_rate,0.9474,0.9492,0.8277,1.73,7385,53
Démographie,Mortalité brut (‰),target_death_rate,0.6087,0.5815,0.3401,1.549,7385,53
Démographie,Mortalité infantile (<5 ans),target_child_mortality,0.8318,0.8165,0.5588,13.751,6790,49
Démographie,Espérance de vie,target_life_expectancy,0.7472,0.7493,0.4531,2.866,7385,53
Démographie,Croissance démographique,target_pop_growth,0.6874,0.6832,0.4637,0.461,7382,53
Démographie,Migration nette,target_net_migration,0.0803,0.0774,-0.8199,65968.881,7385,53
Démographie,Taux de fécondité,target_fertility,0.9438,0.9454,0.8381,0.263,7276,54
Santé,Retard de croissance enfants (stunting),target_stunting,0.6698,0.6705,0.6453,7.537,1074,41
Catastrophes humaines,Décès dus aux catastrophes (log),target_disaster_deaths,0.5412,0.5382,-0.3648,1.209,8400,60
Catastrophes humaines,Personnes affectées (log),target_disaster_affected,0.5362,0.5315,-0.0599,3.218,8400,60
