Cible,Technique,Meilleur,R² (pays inconnus),MAE,N test,N features
Rendement céréales (FAO),target_yield_cereals,XGBoost,0.4643,0.356,1433,182
Rendement oléagineux (FAO),target_yield_oilcrops,XGBoost,0.3866,0.476,1519,182
Rendement légumineuses (FAO),target_yield_pulses,XGBoost,0.1203,0.451,1413,182
Rendement racines/tubercules (FAO),target_yield_roots,XGBoost,0.5945,0.319,1612,182
Rendement fruits (FAO),target_yield_fruits,XGBoost,0.085,0.477,1616,182
Rendement légumes (FAO),target_yield_vegetables,XGBoost,0.3817,0.451,1616,182
Stress hydrique log(% prélèvement),target_water_stress,RandomForest,0.6256,0.721,1256,197
Dégradation du sol (kg/ha),target_soil_degradation,XGBoost,0.6416,23.927,839,192
Anomalie thermique annuelle,target_thermal_anomaly,XGBoost,0.6916,0.237,2006,192
Mortalité infantile (WB),target_child_mortality,XGBoost,0.7009,19.79,1715,152
Espérance de vie (WB),target_life_expectancy,XGBoost,0.6412,3.841,1855,152
Croissance démographique (WB),target_pop_growth,XGBoost,0.3668,0.755,1855,152
Décès catastrophes log,target_disaster_deaths,XGBoost,0.5371,1.215,2100,190
Affectés catastrophes log,target_disaster_affected,RandomForest,0.5609,3.265,2100,190
Dégâts économiques log USD,target_disaster_damages_usd,RandomForest,-0.0321,0.245,2100,190
